start_date	end_date	session_time	cycleId
2024-11-10 00:16:38.935688	 2024-11-10 00:28:02.174248	 683.23856	 437.0
2024-11-10 00:28:02.174248	 2024-11-10 00:39:25.654009	 683.479761	 438.0
2024-11-10 00:39:25.654009	 2024-11-10 00:50:49.066924	 683.412915	 439.0
2024-11-10 00:50:49.066924	 2024-11-10 01:02:12.432060	 683.365136	 440.0
2024-11-10 01:02:12.432060	 2024-11-10 01:13:35.821410	 683.38935	 441.0
2024-11-10 01:13:35.821410	 2024-11-10 01:24:59.323273	 683.501863	 442.0
2024-11-10 01:24:59.323273	 2024-11-10 01:36:22.482788	 683.159515	 443.0
2024-11-10 01:36:22.482788	 2024-11-10 01:47:45.959464	 683.476676	 444.0
2024-11-10 01:47:45.959464	 2024-11-10 01:59:09.251221	 683.291757	 445.0
2024-11-10 01:59:09.251221	 2024-11-10 02:10:32.703090	 683.451869	 446.0
2024-11-10 02:10:32.703090	 2024-11-10 02:21:56.100285	 683.397195	 447.0
2024-11-10 02:21:56.100285	 2024-11-10 02:33:19.495278	 683.394993	 448.0
2024-11-10 02:33:19.495278	 2024-11-10 02:44:42.877939	 683.382661	 449.0
2024-11-10 02:44:42.877939	 2024-11-10 02:56:06.360358	 683.482419	 450.0
2024-11-10 02:56:06.360358	 2024-11-10 03:07:29.804870	 683.444512	 451.0
2024-11-10 03:07:29.804870	 2024-11-10 03:18:52.971222	 683.166352	 452.0
2024-11-10 03:18:52.971222	 2024-11-10 03:30:16.616454	 683.645232	 453.0
2024-11-10 03:30:16.616454	 2024-11-10 03:41:39.651146	 683.034692	 454.0
2024-11-10 03:41:39.651146	 2024-11-10 03:53:03.134884	 683.483738	 455.0
2024-11-10 03:53:03.134884	 2024-11-10 04:04:26.522723	 683.387839	 456.0
2024-11-10 04:04:26.522723	 2024-11-10 04:15:50.138968	 683.616245	 457.0
2024-11-10 04:15:50.138968	 2024-11-10 04:27:13.368019	 683.229051	 458.0
